Role,Link,Location,Salary,Summary,H1B,Company
Audit or Tax | Entry Level Accountant 2025,https://job-boards.greenhouse.io/campusopportunities/jobs/6609055002,"California, DC, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, Washington","est. $70,000 - $82,000 per year","Entry Level Accountant position at Withum in various states including California, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, and Washington. Requires a degree in accounting and GPA of 3.0 or higher. Full-time role with salary range estimated at $70,000 - $82,000 per year.",FALSE,Campus Opportunities
Audit or Tax | Entry Level Accountant 2025,https://job-boards.greenhouse.io/campusopportunities/jobs/6609055002,"California, DC, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, Washington","est. $70,000 - $82,000 per year","Entry Level Accountant position at Withum in various states including California, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, and Washington. Requires a degree in accounting and GPA of 3.0 or higher. Full-time role with salary range estimated at $70,000 - $82,000 per year.",FALSE,Campus Opportunities
Audit or Tax | Entry Level Accountant 2025,https://job-boards.greenhouse.io/campusopportunities/jobs/6609055002,"California, DC, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, Washington","est. $70,000 - $82,000 per year","Entry Level Accountant position at Withum in various states including California, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, and Washington. Requires a degree in accounting and GPA of 3.0 or higher. Full-time role with salary range estimated at $70,000 - $82,000 per year.",FALSE,Campus Opportunities
Audit or Tax | Entry Level Accountant 2025,https://job-boards.greenhouse.io/campusopportunities/jobs/6609055002,"California, DC, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, Washington","est. $70,000 - $82,000 per year","Entry Level Accountant position at Withum in various states including California, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, and Washington. Requires a degree in accounting and GPA of 3.0 or higher. Full-time role with salary range estimated at $70,000 - $82,000 per year.",FALSE,Campus Opportunities
Audit or Tax | Entry Level Accountant 2025,https://job-boards.greenhouse.io/campusopportunities/jobs/6609055002,"California, DC, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, Washington","est. $70,000 - $82,000 per year","Entry Level Accountant position at Withum in various states including California, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, and Washington. Requires a degree in accounting and GPA of 3.0 or higher. Full-time role with salary range estimated at $70,000 - $82,000 per year.",FALSE,Campus Opportunities
Audit or Tax | Entry Level Accountant 2025,https://job-boards.greenhouse.io/campusopportunities/jobs/6609055002,"California, DC, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, Washington","est. $70,000 - $82,000 per year","Entry Level Accountant position at Withum in various states including California, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, and Washington. Requires a degree in accounting and GPA of 3.0 or higher. Full-time role with salary range estimated at $70,000 - $82,000 per year.",FALSE,Campus Opportunities
Audit or Tax | Entry Level Accountant 2025,https://job-boards.greenhouse.io/campusopportunities/jobs/6609055002,"California, DC, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, Washington","est. $70,000 - $82,000 per year","Entry Level Accountant position at Withum in various states including California, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, and Washington. Requires a degree in accounting and GPA of 3.0 or higher. Full-time role with salary range estimated at $70,000 - $82,000 per year.",FALSE,Campus Opportunities
Audit or Tax | Entry Level Accountant 2025,https://job-boards.greenhouse.io/campusopportunities/jobs/6609055002,"California, DC, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, Washington","est. $70,000 - $82,000 per year","Entry Level Accountant position at Withum in various states including California, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, and Washington. Requires a degree in accounting and GPA of 3.0 or higher. Full-time role with salary range estimated at $70,000 - $82,000 per year.",FALSE,Campus Opportunities
Audit or Tax | Entry Level Accountant 2025,https://job-boards.greenhouse.io/campusopportunities/jobs/6609055002,"California, DC, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, Washington","est. $70,000 - $82,000 per year","Entry Level Accountant position at Withum in various states including California, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, and Washington. Requires a degree in accounting and GPA of 3.0 or higher. Full-time role with salary range estimated at $70,000 - $82,000 per year.",FALSE,Campus Opportunities
Audit or Tax | Entry Level Accountant 2025,https://job-boards.greenhouse.io/campusopportunities/jobs/6609055002,"California, DC, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, Washington","est. $70,000 - $82,000 per year","Entry Level Accountant position at Withum in various states including California, Florida, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Tennessee, and Washington. Requires a degree in accounting and GPA of 3.0 or higher. Full-time role with salary range estimated at $70,000 - $82,000 per year.",FALSE,Campus Opportunities
Fall 2025 Fellowship,https://job-boards.greenhouse.io/legalservicesnyc/jobs/4380530006,Bronx Legal Services,"est. $50,000 - $70,000 per year","Fall 2025 Fellowship at Bronx Legal Services, New York City. Seeking law school graduates for projects in Community Neighborhood Stabilization, Education, LGBTQ Advocacy, Public Benefits, and Universal Access to Counsel. Focus on social justice and legal advocacy for low-income communities.",FALSE,Legal Services NYC
Fall 2025 Housing Staff Attorneys/Law Graduates,https://job-boards.greenhouse.io/legalservicesnyc/jobs/4376885006,Legal Services NYC,"est. $74,000 - $135,000 per year","Fall 2025 Housing Staff Attorneys/Law Graduates position at Legal Services NYC, focusing on eviction defense and housing law. Requires a J.D. and commitment to social justice. Located in New York City.",FALSE,Legal Services NYC
"Spring 2025 Pro Bono Scholars, Housing Practice",https://job-boards.greenhouse.io/legalservicesnyc/jobs/4377573006,Legal Services NYC,"est. $50,000 - $70,000 per year","Spring 2025 Pro Bono Scholars position at Legal Services NYC, focusing on housing practice. Candidates will represent low-income tenants, conduct community outreach, and provide legal advice. Ideal for those committed to social justice and equity.",FALSE,Legal Services NYC
Support Engineering,https://job-boards.greenhouse.io/geotab/jobs/4093893008,"Atlanta, Georgia - USA","est. $60,000 - $80,000 per year","Support Engineering position in Atlanta, Georgia requiring 0-3 years of experience in technical support. Ideal candidates will have a background in Mechanical, Mechatronics, Electrical, or related fields, with skills in troubleshooting technical issues and customer service.",FALSE,geotab
Energy Analyst (Economics) - July 2025,https://boards.greenhouse.io/thebrattlegroup/jobs/4457046005,"Boston, Massachusetts, United States","est. $85,000 - $95,000 per year","Energy Analyst position at The Brattle Group in Boston, Massachusetts. Requires skills in quantitative analysis, programming (Excel, R, Python), teamwork, and economic consulting. Ideal for candidates with a quantitative degree and a focus on energy. Full-time role with estimated salary range of $85,000 - $95,000.",TRUE,thebrattlegroup
Energy Analyst (Economics) - July 2025,https://boards.greenhouse.io/thebrattlegroup/jobs/4457057005,"Washington, District of Columbia, United States","est. $80,000 - $100,000 per year","Energy Analyst position in Washington, District of Columbia. Requires skills in quantitative analysis, programming (Excel, R, Python, GAMS, Stata, VBA), and teamwork. Ideal for candidates with a bachelor's degree in a quantitative field and a passion for energy economics.",FALSE,thebrattlegroup
Research Analyst (Economics and Finance) - July 2025,https://boards.greenhouse.io/thebrattlegroup/jobs/4457017005,"Boston, Massachusetts, United States","est. $90,000 - $100,000 per year","Research Analyst position at The Brattle Group in Boston, Massachusetts. Requires an undergraduate degree in economics or related field, strong teamwork and leadership skills, and experience in quantitative analysis. Full-time role in a large economic consulting firm.",FALSE,thebrattlegroup
Research Analyst (Economics and Finance) - July 2025,https://boards.greenhouse.io/thebrattlegroup/jobs/4457017005,"Boston, Massachusetts, United States","est. $90,000 - $100,000 per year","Research Analyst position at The Brattle Group in Boston, Massachusetts. Requires an undergraduate degree in economics or related field, strong teamwork and leadership skills, and experience in quantitative analysis. Full-time role in a large economic consulting firm.",FALSE,thebrattlegroup
Research Analyst (Economics and Finance) - July 2025,https://boards.greenhouse.io/thebrattlegroup/jobs/4457017005,"Boston, Massachusetts, United States","est. $90,000 - $100,000 per year","Research Analyst position at The Brattle Group in Boston, Massachusetts. Requires an undergraduate degree in economics or related field, strong teamwork and leadership skills, and experience in quantitative analysis. Full-time role in a large economic consulting firm.",FALSE,thebrattlegroup
Research Analyst (Economics and Finance) - July 2025,https://boards.greenhouse.io/thebrattlegroup/jobs/4457017005,"Boston, Massachusetts, United States","est. $90,000 - $100,000 per year","Research Analyst position at The Brattle Group in Boston, Massachusetts. Requires an undergraduate degree in economics or related field, strong teamwork and leadership skills, and experience in quantitative analysis. Full-time role in a large economic consulting firm.",FALSE,thebrattlegroup
Research Analyst (Economics and Finance) - July 2025,https://boards.greenhouse.io/thebrattlegroup/jobs/4457017005,"Boston, Massachusetts, United States","est. $90,000 - $100,000 per year","Research Analyst position at The Brattle Group in Boston, Massachusetts. Requires an undergraduate degree in economics or related field, strong teamwork and leadership skills, and experience in quantitative analysis. Full-time role in a large economic consulting firm.",FALSE,thebrattlegroup
Research Analyst (Economics and Finance) - July 2025,https://boards.greenhouse.io/thebrattlegroup/jobs/4457032005,"San Francisco, California, United States","est. $90,000 - $100,000 per year","Research Analyst position at The Brattle Group in San Francisco, California. Requires a Bachelor's degree in a quantitative discipline, skills in quantitative analysis, and teamwork. Full-time role in the consulting industry with an estimated salary range of $90,000 - $100,000 per year.",FALSE,thebrattlegroup
Community Experience Associate (New Homes),https://job-boards.greenhouse.io/vanmetre/jobs/6160258,"Winchester, VA","est. $65,000 - $75,000 per year","Community Experience Associate position at Van Metre in Winchester, Virginia, focusing on delivering exceptional homebuying experiences, utilizing CRM systems, and engaging with potential buyers. Requires sales experience, strong communication skills, and flexibility for weekend work.",FALSE,VanMetre
Bus Driver,https://job-boards.greenhouse.io/gillig/jobs/6148290,"Livermore, CA","est. $62,400 - $72,800 per year","Bus Driver position in Livermore, California. Requires valid commercial driver's license, clean driving record, and good communication skills. Full-time with a salary range of est. $62,400 - $72,800 per year. Join a leading transit bus manufacturer focused on zero-emission vehicles.",FALSE,Gillig
CashNetUSA Collections Representative (Remote),https://boards.greenhouse.io/enova/jobs/6158229,"Chicago, IL","est. $40,000 - $60,000 per year","CashNetUSA Collections Representative position located in Chicago, Illinois. Requires 1+ years of collections experience, proficiency in phone communication, and a customer-centric approach. This is a full-time remote role.",FALSE,Enova International
CashNetUSA Collections Representative (Remote),https://boards.greenhouse.io/enova/jobs/6158229,"Chicago, IL","est. $40,000 - $60,000 per year","CashNetUSA Collections Representative position located in Chicago, Illinois. Requires 1+ years of collections experience, proficiency in phone communication, and a customer-centric approach. This is a full-time remote role.",FALSE,Enova International
CashNetUSA Collections Representative (Remote),https://boards.greenhouse.io/enova/jobs/6158229,"Chicago, IL","est. $40,000 - $60,000 per year","CashNetUSA Collections Representative position located in Chicago, Illinois. Requires 1+ years of collections experience, proficiency in phone communication, and a customer-centric approach. This is a full-time remote role.",FALSE,Enova International
CashNetUSA Collections Representative (Remote),https://boards.greenhouse.io/enova/jobs/6158229,"Chicago, IL","est. $40,000 - $60,000 per year","CashNetUSA Collections Representative position located in Chicago, Illinois. Requires 1+ years of collections experience, proficiency in phone communication, and a customer-centric approach. This is a full-time remote role.",FALSE,Enova International
CashNetUSA Collections Representative (Remote),https://boards.greenhouse.io/enova/jobs/6158229,"Chicago, IL","est. $40,000 - $60,000 per year","CashNetUSA Collections Representative position located in Chicago, Illinois. Requires 1+ years of collections experience, proficiency in phone communication, and a customer-centric approach. This is a full-time remote role.",FALSE,Enova International
CashNetUSA Collections Representative (Remote),https://boards.greenhouse.io/enova/jobs/6158229,"Chicago, IL","est. $40,000 - $60,000 per year","CashNetUSA Collections Representative position located in Chicago, Illinois. Requires 1+ years of collections experience, proficiency in phone communication, and a customer-centric approach. This is a full-time remote role.",FALSE,Enova International
Tax-Exempt Organization Tax Associate,https://job-boards.greenhouse.io/withumsmithbrown/jobs/5950900002,"Washington, DC","est. $60,000 - $80,000 per year","Tax-Exempt Organization Tax Associate position in Washington, DC, requiring an Associate's degree in accounting and skills in tax return preparation and Excel. Full-time role in a medium-sized accounting firm focused on nonprofit organizations.",FALSE,Withum Smith Brown
Security Analyst,https://job-boards.greenhouse.io/threatlocker/jobs/5117205004,Orlando,"est. $60,000 - $80,000 per year","Security Analyst position in Orlando focusing on endpoint protection. Requires CompTIA Security+, familiarity with SIEM systems, strong analytical skills, and experience with Windows OS. Full-time role in the cybersecurity industry.",FALSE,Threatlocker
Full Time Prep Cook / Delivery Driver ,https://job-boards.greenhouse.io/sandstonecare/jobs/6148777,"Crownsville, MD","est. $33,280 - $37,440 per year","Full Time Prep Cook / Delivery Driver position in Crownsville, Maryland. Requires 1 year of food preparation experience, valid driver's license, and a passion for service. Involves meal prep for adolescent clients and driving food to the treatment facility.",FALSE,Sandstonecare
Mental Health Technician ,https://job-boards.greenhouse.io/sandstonecare/jobs/6139422,"Crownsville, MD","est. $35,360 - $38,480 per year","Mental Health Technician position in Crownsville, Maryland. Requires 2 years of college education or a high school diploma with 1 year of experience in human services. Full-time role with 12.5 hour shifts. Compensation ranges from $17.00 to $18.50 per hour.",FALSE,Sandstonecare
Veterinary Receptionist,https://boards.greenhouse.io/archer/jobs/7587654002?gh_jid=7587654002,"Lemont, IL","est. $30,000 - $40,000 per year","Veterinary Receptionist position at Archer Veterinary Clinic in Lemont, Illinois. Requires strong communication skills, ability to multi-task, and a passion for animal care. Full-time role in a medium-sized veterinary practice.",FALSE,Archer Aviation
Radiologic Technologist,https://job-boards.greenhouse.io/westcancercenter/jobs/7580387002,"Germantown, TN","est. $50,000 - $70,000 per year","Radiologic Technologist position in Germantown, Tennessee requiring certification as R.T.(R) ARRT, state license, and BLS certification. Full-time role in the healthcare industry with an estimated salary range of $50,000 - $70,000 per year.",FALSE,West Cancer Center
"Front Office Receptionist (Onsite - Duxbury, Massachusetts)",https://vestahealthcare.com/job/?gh_jid=6153559,"Duxbury, Massachusetts","est. $40,000 - $45,000 per year","Front Office Receptionist position at Vesta Healthcare in Duxbury, Massachusetts. Requires 2 years of healthcare experience, knowledge of medical terminology, and customer service skills. Full-time, onsite role focusing on patient care and administrative tasks.",FALSE,Vesta Healthcare
Medical Assistant (Darien),https://job-boards.greenhouse.io/thevascularcaregroup/jobs/5063989004,"Darien, Connecticut, United States","est. $35,000 - $50,000 per year","Medical Assistant position in Darien, Connecticut requiring 1+ year experience in a medical setting, BLS Certification, and strong interpersonal skills. Full-time role providing clinical and administrative support in a vascular medical office.",FALSE,The Vascular Care Group
Registered Vascular Technologist- Trainee Opportunity,https://job-boards.greenhouse.io/thevascularcaregroup/jobs/5250256004,"Wellesley, Massachusetts, United States","est. $40,000 - $60,000 per year","Registered Vascular Technologist Trainee position in Wellesley, Massachusetts. Seeking motivated individuals for on-the-job training in vascular ultrasound. Requires current ultrasound program student status and plans to complete RVT exam.",,The Vascular Care Group
Housekeeper,https://job-boards.greenhouse.io/mind247/jobs/4391456006,"Mesa, AZ","est. $30,000 - $40,000 per year","Housekeeper position in Mesa, Arizona. Requires knowledge of cleaning chemicals, safety regulations, and prior experience in environmental services. Full-time role focused on maintaining cleanliness in healthcare settings.",FALSE,Mind247
Special Education Coordinator,https://job-boards.greenhouse.io/chestercommunitycharterschool/jobs/4463676007,"Chester, PA","est. $30,000 - $50,000 per year","Special Education Coordinator position in Chester, Pennsylvania. Requires high school diploma, knowledge of Microsoft Office, and data management skills. Full-time role supporting Special Education Administrators.",FALSE,Chester Community Charter School
Certified Nursing Assistant,https://www.caredimensions.org/careers/current-openings-apply.cfm?gh_jid=5945755,"Lincoln, MA","est. $41,600 - $52,000 per year","Certified Nursing Assistant position in Lincoln, Massachusetts. Requires CNA certification, compassionate attitude, and confidentiality respect. Full-time role with flexible schedules and great benefits. $20-$25 hourly pay rate.",FALSE,Caredimensions
Certified Nursing Assistant,https://www.caredimensions.org/careers/current-openings-apply.cfm?gh_jid=6060339,"Lincoln, MA","est. $41,600 - $52,000 per year","Certified Nursing Assistant position in Lincoln, Massachusetts. Requires CNA certification, offers flexible schedules, competitive pay ($20-$25 hourly), and benefits including tuition reimbursement. Opportunity for career advancement.",FALSE,Caredimensions
2nd Shift Client Support Coordinator,https://boards.greenhouse.io/mountainsidetreatmentcenter/jobs/6169662,"Canaan, CT","est. $37,440 - $41,600 per year","2nd Shift Client Support Coordinator position in Canaan, Connecticut. Full-time role requiring high school diploma, proficiency in Microsoft Office, and strong problem-solving skills. Shift hours include evenings and weekends.",FALSE,Mountainside Treatment Center
Overnight Client Support Coordinator,https://boards.greenhouse.io/mountainsidetreatmentcenter/jobs/6169675,"Canaan, CT","est. $37,440 - $41,600 per year","Overnight Client Support Coordinator position located in Canaan, Connecticut. Full-time role requiring high school diploma and skills in client support, problem-solving, and Microsoft Office. Offers a structured community living experience.",FALSE,Mountainside Treatment Center
Assoc Sales Executive - Altera Solutions / Remote West Region,https://job-boards.greenhouse.io/alteradigitalhealth/jobs/4473432007,"Dallas, Texas, United States","$50,000 - $80,000 per year","Associate Sales Executive position at Altera Solutions, located remotely in the West Region of the United States. Requires 1-3 years of sales experience, preferably in healthcare IT, and a Bachelor's degree. Strong communication skills and proficiency in Microsoft 365 are essential.",FALSE,Alteradigitalhealth
Associate Sales Operations Analyst,https://boards.greenhouse.io/canonical/jobs/5924435,"Home based - Americas, EMEA","est. $60,000 - $80,000 per year","Associate Sales Operations Analyst position at Canonical, a leading open source software provider, focused on supporting sales teams in the Americas and EMEA. Requires experience in sales operations, strong analytical skills, and familiarity with CRM systems.",FALSE,Canonical
"Associate, Shipping & Fulfillment",https://job-boards.greenhouse.io/himshers/jobs/7582066002,"Gilbert, Arizona","est. $34,000 - $36,000 per year","Fulfillment Ship Associate position in Gilbert, Arizona. Requires high school diploma, strong communication skills, and ability to work in a 24/7 environment. Involves packaging and shipping medications, maintaining a clean work environment, and ensuring compliance with regulations.",FALSE,Hims & Hers
Pharmacy Technician Trainee,https://job-boards.greenhouse.io/himshers/jobs/7580319002,"New Albany, Ohio","est. $38,000 - $42,000 per year","Pharmacy Technician Trainee position at Hims & Hers in New Albany, Ohio, requiring active Pharmacy Technician Trainee Registration, high school diploma, and knowledge of pharmacy regulations. Full-time role with flexible shifts.",FALSE,Hims & Hers
Financial Crimes Compliance Associate,https://boards.greenhouse.io/vestwell/jobs/6064240003,"New York, NY | Phoenix, AZ | Austin, TX","est. $60,000 - $75,000 per year","Financial Crimes Compliance Associate position in New York, Phoenix, or Austin. Requires experience in fraud detection, a Bachelor's degree, and strong analytical skills. Remote-hybrid work environment at a startup in the FinTech industry.",FALSE,Vestwell
Financial Crimes Compliance Associate,https://boards.greenhouse.io/vestwell/jobs/6064240003,"New York, NY | Phoenix, AZ | Austin, TX","est. $60,000 - $75,000 per year","Financial Crimes Compliance Associate position in New York, Phoenix, or Austin. Requires experience in fraud detection, a Bachelor's degree, and strong analytical skills. Remote-hybrid work environment at a startup in the FinTech industry.",FALSE,Vestwell
Sanitation Technician,https://boards.greenhouse.io/curaleaf/jobs/7590765002,"Lexington, KY","est. $30,000 - $40,000 per year","Sanitation Technician position at Curaleaf in Lexington, Kentucky. Requires high school diploma, attention to detail, and ability to work in a GMP environment. Full-time role in the cannabis industry.",FALSE,Curaleaf
Production Coordinator (Launch) - Weekend,https://boards.greenhouse.io/spacex/jobs/7580275002?gh_jid=7580275002,"Cape Canaveral, FL","est. $41,600 - $62,400 per year","Production Coordinator (Launch) position at SpaceX in Cape Canaveral, Florida. Requires 1+ year of supply chain or manufacturing experience, high school diploma, and knowledge of MRP/ERP systems. Full-time role with varying shifts and responsibilities in support of launch and production teams.",FALSE,Spacex
Production Coordinator (Starshield),https://boards.greenhouse.io/spacex/jobs/7587359002?gh_jid=7587359002,"Hawthorne, CA","est. $41,600 - $62,400 per year","Production Coordinator position at SpaceX in Hawthorne, California. Requires 1+ years of administrative experience and a high school diploma. Strong computer skills and knowledge of MRP/ERP systems preferred. Full-time role in the aerospace industry.",FALSE,Spacex
Propulsion Technician (Falcon Valves),https://boards.greenhouse.io/spacex/jobs/7582644002?gh_jid=7582644002,"Hawthorne, CA","est. $45,760 - $79,040 per year","Propulsion Technician position at SpaceX in Hawthorne, California. Requires high school diploma and 1+ years of experience in hardware assembly or related field. Full-time role focusing on building and testing valves for Falcon rockets.",FALSE,Spacex
Propulsion Technician (Merlin Turbopump/Injector),https://boards.greenhouse.io/spacex/jobs/7586161002?gh_jid=7586161002,"Hawthorne, CA","est. $41,600 - $79,040 per year","Propulsion Technician position at SpaceX in Hawthorne, California requiring hands-on mechanical skills and 1+ years of experience in a production or manufacturing environment. Full-time role with a focus on assembly and testing of rocket hardware.",FALSE,Spacex
Propulsion Technician (Starship),https://boards.greenhouse.io/spacex/jobs/7579672002?gh_jid=7579672002,"Starbase, TX","est. $37,440 - $58,240 per year","Propulsion Technician position at SpaceX in Starbase, Texas. Requires mechanical knowledge and hands-on experience. 1+ years in manufacturing, automotive, or aerospace preferred. Full-time role in the aerospace industry.",FALSE,Spacex
Landscape Crew Member ,https://boards.greenhouse.io/hollywoodparksofistadium/jobs/7576028002,SoFi Stadium and Hollywood Park ,"est. $40,000 - $45,000 per year","Landscape Crew Member position at SoFi Stadium and Hollywood Park, California. Requires 2-4 years of landscape maintenance experience, valid driver's license, and ability to operate commercial landscaping equipment. Full-time role in the sports and entertainment industry.",FALSE,SoFi Stadium
Receiving Operator - bulk materials,https://job-boards.greenhouse.io/enviva/jobs/6079065003,"Wilmington, NC","est. $35,000 - $50,000 per year","Receiving Operator position in Wilmington, North Carolina. Requires high school diploma, mechanical aptitude, and ability to work in various environmental conditions. Full-time role in the renewable energy industry with responsibilities in receiving and quality assurance.",FALSE,Enviva
Member Loyalty Representative,https://job-boards.greenhouse.io/oportun/jobs/4453504005,"Hialeah, FL","est. $33,280 - $37,440 per year","Member Loyalty Representative position in Hialeah, Florida. Requires customer service, cashier, sales, or hospitality experience. Bilingual (English/Spanish) preferred. Full-time role with flexible scheduling and competitive pay.",FALSE,Oportun
"Emergency Veterinary Assistant - Murfreesboro, TN",https://boards.greenhouse.io/veterinaryemergencygroupst/jobs/5245960004?gh_jid=5245960004,"Murfreesboro, Tennessee, United States","est. $30,000 - $45,000 per year","Emergency Veterinary Assistant position in Murfreesboro, Tennessee. Requires skills in animal care, nursing tasks, patient monitoring, and excellent interpersonal communication. Full-time role in a medium-sized veterinary services company focused on emergency medicine.",FALSE,Veterinary Emergency Group St.
"Emergency Veterinary Assistant - West Nashville, TN",https://boards.greenhouse.io/veterinaryemergencygroupst/jobs/5251999004?gh_jid=5251999004,VEG West Nashville,"est. $30,000 - $45,000 per year","Emergency Veterinary Assistant position at Veterinary Emergency Group in West Nashville, Tennessee. Requires basic veterinary care skills, excellent communication, and a passion for animal care. Full-time role in a medium-sized veterinary services company.",FALSE,Veterinary Emergency Group St.
Customer Delivery Driver,https://www.carvana.com/careers/apply?gh_jid=6169440,"Eagan, MN","est. $40,000 - $50,000 per year","Customer Delivery Driver position in Eagan, Minnesota requiring at least 2 years of customer-facing experience. Full-time role with competitive benefits and physical demands. Salary estimated between $40,000 and $50,000 per year.",FALSE,Carvana
"Engineer I, R&D",https://job-boards.greenhouse.io/rocketlab/jobs/6075673003,"Albuquerque, New Mexico, United States","est. $70,000 - $90,000 per year","Engineer I, R&D position at Rocket Lab in Albuquerque, New Mexico. Involves supporting the development of space solar cell products, requiring a Bachelor's degree in materials science, electrical engineering, or physics. Full-time role in the aerospace industry.",FALSE,Rocket Lab
"Business Development Representative, Enterprise",https://boards.greenhouse.io/braze/jobs/6158338?gh_jid=6158338,Austin,"est. $42,600 - $55,500 per year","Business Development Representative, Enterprise position in Austin, Texas. Requires skills in account research, communication planning, and C-suite engagement. Entry-level role with hybrid work schedule and potential for advancement.",FALSE,braze
Supervisor Trainee - Fullfillment Center Operations,https://boards.greenhouse.io/weee/jobs/6073573003,"Clifton, New Jersey, United States","est. $41,600 - $46,800 per year","Supervisor Trainee in Fulfillment Center Operations at Weee! in Clifton, New Jersey. Requires high school education, strong communication skills, and ability to work in fast-paced environments. Full-time position with a contract duration of 4 months, potential for leadership role. E-commerce industry.",FALSE,Weee!
Supervisor Trainee - Fullfillment Center Operations,https://boards.greenhouse.io/weee/jobs/6073573003,"Clifton, New Jersey, United States","est. $41,600 - $46,800 per year","Supervisor Trainee in Fulfillment Center Operations at Weee! in Clifton, New Jersey. Requires high school education, strong communication skills, and ability to work in fast-paced environments. Full-time position with a contract duration of 4 months, potential for leadership role. E-commerce industry.",FALSE,Weee!
Inventory Specialist (Starlink),https://boards.greenhouse.io/spacex/jobs/7582032002?gh_jid=7582032002,"Bastrop, TX","est. $41,600 - $62,400 per year","Inventory Specialist position at SpaceX in Bastrop, Texas. Requires 1+ years of inventory control experience, high school diploma, and skills in material handling and inventory accuracy. Full-time role in aerospace industry.",FALSE,Spacex
Barista,https://boards.greenhouse.io/convene/jobs/6160108,"Chicago, IL","est. $37,440 - $40,000 per year","Barista position in Chicago, Illinois. Full-time role requiring 1 year of experience, excellent communication skills, and a friendly demeanor. Salary is $18/hr plus tips.",FALSE,Convene
"Account Coordinator, Consumer",https://job-boards.greenhouse.io/mbooth/jobs/7577003002,NYC,"$45,000 - $48,000 per year","Account Coordinator position in New York City, focusing on Consumer brands, requiring strong writing skills and 0-1 years of experience. Full-time role in a medium-sized public relations agency with a hybrid work model.",FALSE,M Booth
"Account Coordinator, Consumer",https://job-boards.greenhouse.io/mbooth/jobs/7577003002,NYC,"$45,000 - $48,000 per year","Account Coordinator position in New York City, focusing on Consumer brands, requiring strong writing skills and 0-1 years of experience. Full-time role in a medium-sized public relations agency with a hybrid work model.",FALSE,M Booth
"Account Coordinator, Consumer",https://job-boards.greenhouse.io/mbooth/jobs/7577003002,NYC,"$45,000 - $48,000 per year","Account Coordinator position in New York City, focusing on Consumer brands, requiring strong writing skills and 0-1 years of experience. Full-time role in a medium-sized public relations agency with a hybrid work model.",FALSE,M Booth
"Account Coordinator, Consumer",https://job-boards.greenhouse.io/mbooth/jobs/7577003002,NYC,"$45,000 - $48,000 per year","Account Coordinator position in New York City, focusing on Consumer brands, requiring strong writing skills and 0-1 years of experience. Full-time role in a medium-sized public relations agency with a hybrid work model.",FALSE,M Booth
"Account Coordinator, Consumer",https://job-boards.greenhouse.io/mbooth/jobs/7577003002,NYC,"$45,000 - $48,000 per year","Account Coordinator position in New York City, focusing on Consumer brands, requiring strong writing skills and 0-1 years of experience. Full-time role in a medium-sized public relations agency with a hybrid work model.",FALSE,M Booth
"Account Coordinator, Consumer",https://job-boards.greenhouse.io/mbooth/jobs/7577003002,NYC,"$45,000 - $48,000 per year","Account Coordinator position in New York City, focusing on Consumer brands, requiring strong writing skills and 0-1 years of experience. Full-time role in a medium-sized public relations agency with a hybrid work model.",FALSE,M Booth
"Account Coordinator, Consumer",https://job-boards.greenhouse.io/mbooth/jobs/7577003002,NYC,"$45,000 - $48,000 per year","Account Coordinator position in New York City, focusing on Consumer brands, requiring strong writing skills and 0-1 years of experience. Full-time role in a medium-sized public relations agency with a hybrid work model.",FALSE,M Booth
"Account Coordinator, Consumer",https://job-boards.greenhouse.io/mbooth/jobs/7577003002,NYC,"$45,000 - $48,000 per year","Account Coordinator position in New York City, focusing on Consumer brands, requiring strong writing skills and 0-1 years of experience. Full-time role in a medium-sized public relations agency with a hybrid work model.",FALSE,M Booth
